from,to,weight
Ned,Robert,192
Daenerys,Jorah,154
Jon,Sam,121
Ned,Littlefinger,107
Ned,Varys,96
Daenerys,Drogo,91
Ned,Arya,90
Catelyn,Robb,90
Bronn,Tyrion,86
Ned,Cersei,86
Cersei,Robert,80
Littlefinger,Varys,73
Shae,Tyrion,73
Ned,Catelyn,69
Joffrey,Sansa,69
Ned,Pycelle,68
Daenerys,Viserys,66
Sansa,Septa Mordane,64
Tyrion,Tywin,61
Jon,Jeor,60
Robb,Theon,60
Cersei,Joffrey,54
Arya,Sansa,53
Bran,Maester Luwin,53
Ned,Jaime,53
Ned,Sansa,49
Robb,Bran,48
Loras,Renly,47
Cersei,Jaime,46
Daenerys,Mirri Maz Duur,45
Jon,Tyrion,45
Arya,Syrio Forel,44
Ned,Jory Cassel,44
Jorah,Viserys,43
Jon,Pyp,42
Catelyn,Tyrion,41
Ros,Theon,40
Ned,Joffrey,39
Cersei,Sansa,36
Grenn,Pyp,36
Catelyn,Walder,34
Daenerys,Doreah,34
Tyrion,Jaime,34
Jaime,Tywin,34
Jon,Benjen,33
Daenerys,Irri,32
Robb,Greatjon Umber,31
Tyrion,Mord,31
Catelyn,Lysa,30
Doreah,Viserys,30
Jorah,Rakharo,30
Lysa,Robin Arryn,30
Tyrion,Lysa,30
Ned,Renly,30
Pyp,Sam,30
Renly,Robert,30
Ned,Bran,29
Bran,Osha,29
Ned,Jon,29
Catelyn,Bran,28
Catelyn,Jaime,28
Catelyn,Rodrik Cassel,28
Daenerys,Qotho,28
Joffrey,Robert,28
Jon,Maester Aemon,28
Drogo,Viserys,27
Jaime,Jory Cassel,27
Bran,Theon,26
Littlefinger,Catelyn,26
Catelyn,Maester Luwin,26
Ned,Barristan,25
Illyrio,Viserys,25
Jon,Robb,25
Osha,Theon,25
Arya,Joffrey,24
Jon,Grenn,24
Ned,Robb,23
Barristan,Robert,22
Catelyn,Cersei,22
Littlefinger,Sansa,22
Tyrion,Shagga,22
Tyrion,Yoren,22
Jon,Alliser Thorne,20
Jon,Arya,20
Jorah,Drogo,20
Jaime,Robert,20
Jon,Bran,19
Daenerys,Wine Merchant,19
Sansa,Hound,19
Littlefinger,Pycelle,19
Littlefinger,Ros,19
Tyrion,Theon,19
Alliser Thorne,Sam,18
Arya,Yoren,18
Cersei,Tyrion,18
Tyrion,Benjen,17
Daenerys,Rakharo,17
Jeor,Sam,17
Littlefinger,Renly,17
Robb,Maester Luwin,17
Sansa,Robert,17
Tyrion,Ros,17
Catelyn,Theon,16
Grenn,Sam,16
Joffrey,Hound,16
Tyrion,Robb,16
Tyrion,Bran,15
Catelyn,Robert,15
Tyrion,Jeor,15
Joffrey,Tyrion,15
Joffrey,Varys,15
Robert,Lancel,15
Mirri Maz Duur,Qotho,15
Ned,Yoren,15
Pycelle,Varys,15
Ned,Benjen,14
Bran,Rickon,14
Jon,Catelyn,14
Catelyn,Sansa,14
Joffrey,Marillion,14
Tyrion,Kevan,14
Littlefinger,Robert,14
Cersei,Barristan,13
Cersei,Varys,13
Daenerys,Rhaego,13
Ned,Janos Slynt,13
Joffrey,Pycelle,13
Theon,Maester Luwin,13
Ned,Theon,13
Sansa,Pycelle,13
Ned,Gendry,12
Hot Pie,Lommy Greenhands,12
Littlefinger,Joffrey,12
Joffrey,Meryn Trant,12
Joffrey,Robb,12
Ned,Jon Arryn,12
Kevan,Tywin,12
Osha,Maester Luwin,12
Arya,Septa Mordane,11
Bran,Hodor,11
Bronn,Shae,11
Catelyn,Greatjon Umber,11
Catelyn,Varys,11
Greatjon Umber,Theon,11
Irri,Rakharo,11
Meryn Trant,Syrio Forel,11
Ned,Tyrion,11
Ned,Tywin,11
Robert,Pycelle,11
Renly,Stannis,11
Robb,Rodrik Cassel,11
Robert,Varys,11
Pyp,Alliser Thorne,10
Arya,Robert,10
Catelyn,Robin Arryn,10
Catelyn,Vardis Egen,10
Daenerys,Illyrio,10
Drogo,Mago,10
Ned,Hound,10
Tyrion,Hound,10
Jon,Jaime,10
Robb,Jaime,10
Jeor,Pyp,10
Joffrey,Mycah,10
Jorah,Wine Merchant,10
Sansa,Meryn Trant,10
Ned,Rodrik Cassel,10
Ned,Stannis,10
Ned,Tobho Mott,10
Pyp,Rast,10
Jeor,Alliser Thorne,9
Arya,Cersei,9
Bran,Jaime,9
Bran,Old Nan,9
Cersei,Pycelle,9
Drogo,Mirri Maz Duur,9
Illyrio,Varys,9
Jorah,Irri,9
Jeor,Maester Aemon,9
Ned,Mhaegen,9
Ned,Septa Mordane,9
Ros,Pycelle,9
Renly,Varys,9
Sansa,Robb,9
Tyrion,Robin Arryn,9
Tyrion,Rodrik Cassel,9
Ned,Aerys,8
Ned,Baelor,8
Littlefinger,Cersei,8
Cersei,Robb,8
Daenerys,Mago,8
Pyp,Dareon,8
Hound,Meryn Trant,8
Jorah,Mirri Maz Duur,8
Robb,Osha,8
Renly,Pycelle,8
Robert,Tywin,8
Theon,Rodrik Cassel,8
Sansa,Varys,8
Tyrion,Ser Vardis,8
Robert,Aerys,7
Grenn,Alliser Thorne,7
Arya,Catelyn,7
Arya,Gendry,7
Arya,Hound,7
Arya,Jory Cassel,7
Arya,Stable Boy,7
Arya,Varys,7
Bran,Robert,7
Catelyn,Bronn,7
Greatjon Umber,Rodrik Cassel,7
Jory Cassel,Hugh Of The Vale,7
Jon,Rast,7
Jon,Theon,7
Robert,Jon Arryn,7
Littlefinger,Jory Cassel,7
Tyrion,Maester Aemon,7
Tyrion,Maester Luwin,7
Tyrion,Robert,7
Robert,Viserys,7
Arya,Robb,6
Barristan,Varys,6
Bronn,Rodrik Cassel,6
Drogo,Illyrio,6
